date,period,signal,strategy,cost_bps,gross_return,net_return,turnover,benchmark_return,universe_size,long_count,short_count
1995-02-28,retrospective,MOM,long_short,0.0,0.015473242505318278,0.015473242505318278,1.2435233160621761,0.027068365204358947,967,193,193
1995-02-28,retrospective,MOM,long_short,10.0,0.015473242505318278,0.014229719189256102,1.2435233160621761,0.027068365204358947,967,193,193
1995-02-28,retrospective,MOM,long_short,25.0,0.015473242505318278,0.012364434215162838,1.2435233160621761,0.027068365204358947,967,193,193
1995-02-28,retrospective,QUALITY,continuous_long_short,0.0,0.017177549649644328,0.017177549649644328,0.1637468181613618,0.027190285592890044,960,378,582
1995-02-28,retrospective,QUALITY,continuous_long_short,10.0,0.017177549649644328,0.017013802831482967,0.1637468181613618,0.027190285592890044,960,378,582
1995-02-28,retrospective,QUALITY,continuous_long_short,25.0,0.017177549649644328,0.016768182604240924,0.1637468181613618,0.027190285592890044,960,378,582
1995-02-28,retrospective,QUALITY,long_only,0.0,0.03920403990225868,0.03920403990225868,0.05208333333333333,0.027190285592890044,960,192,0
1995-02-28,retrospective,QUALITY,long_only,10.0,0.03920403990225868,0.039151956568925346,0.05208333333333333,0.027190285592890044,960,192,0
1995-02-28,retrospective,QUALITY,long_only,25.0,0.03920403990225868,0.03907383156892535,0.05208333333333333,0.027190285592890044,960,192,0
1995-02-28,retrospective,QUALITY,long_short,0.0,0.004350583521050432,0.004350583521050432,0.14583333333333331,0.027190285592890044,960,192,192
1995-02-28,retrospective,QUALITY,long_short,10.0,0.004350583521050432,0.004204750187717099,0.14583333333333331,0.027190285592890044,960,192,192
1995-02-28,retrospective,QUALITY,long_short,25.0,0.004350583521050432,0.003986000187717099,0.14583333333333331,0.027190285592890044,960,192,192
1995-02-28,retrospective,SIZE,continuous_long_short,0.0,-0.00291307269239744,-0.00291307269239744,0.2507334062969544,0.02707347150640191,995,575,420
1995-02-28,retrospective,SIZE,continuous_long_short,10.0,-0.00291307269239744,-0.003163806098694394,0.2507334062969544,0.02707347150640191,995,575,420
1995-02-28,retrospective,SIZE,continuous_long_short,25.0,-0.00291307269239744,-0.003539906208139826,0.2507334062969544,0.02707347150640191,995,575,420
1995-02-28,retrospective,SIZE,long_only,0.0,0.0164740556629117,0.0164740556629117,0.321608040201005,0.02707347150640191,995,199,0
1995-02-28,retrospective,SIZE,long_only,10.0,0.0164740556629117,0.016152447622710696,0.321608040201005,0.02707347150640191,995,199,0
1995-02-28,retrospective,SIZE,long_only,25.0,0.0164740556629117,0.015670035562409187,0.321608040201005,0.02707347150640191,995,199,0
1995-02-28,retrospective,SIZE,long_short,0.0,-0.007121750269835987,-0.007121750269835987,0.38190954773869346,0.02707347150640191,995,199,199
1995-02-28,retrospective,SIZE,long_short,10.0,-0.007121750269835987,-0.007503659817574681,0.38190954773869346,0.02707347150640191,995,199,199
1995-02-28,retrospective,SIZE,long_short,25.0,-0.007121750269835987,-0.00807652413918272,0.38190954773869346,0.02707347150640191,995,199,199
1995-02-28,retrospective,VALUE,continuous_long_short,0.0,-0.019195232284730204,-0.019195232284730204,0.326235287731027,0.027383441307281136,943,414,529
1995-02-28,retrospective,VALUE,continuous_long_short,10.0,-0.019195232284730204,-0.019521467572461232,0.326235287731027,0.027383441307281136,943,414,529
1995-02-28,retrospective,VALUE,continuous_long_short,25.0,-0.019195232284730204,-0.020010820504057773,0.326235287731027,0.027383441307281136,943,414,529
1995-02-28,retrospective,VALUE,long_only,0.0,0.018659672667387658,0.018659672667387658,0.17021276595744678,0.027383441307281136,943,188,0
1995-02-28,retrospective,VALUE,long_only,10.0,0.018659672667387658,0.01848945990143021,0.17021276595744678,0.027383441307281136,943,188,0
1995-02-28,retrospective,VALUE,long_only,25.0,0.018659672667387658,0.018234140752494042,0.17021276595744678,0.027383441307281136,943,188,0
1995-02-28,retrospective,VALUE,long_short,0.0,-0.01772632873515445,-0.01772632873515445,0.36170212765957444,0.027383441307281136,943,188,188
1995-02-28,retrospective,VALUE,long_short,10.0,-0.01772632873515445,-0.018088030862814027,0.36170212765957444,0.027383441307281136,943,188,188
1995-02-28,retrospective,VALUE,long_short,25.0,-0.01772632873515445,-0.018630584054303387,0.36170212765957444,0.027383441307281136,943,188,188
1995-03-31,retrospective,COMPOSITE,continuous_long_short,0.0,0.0006799360644438594,0.0006799360644438594,0.7093538322779208,0.026038367787094372,962,519,443
1995-03-31,retrospective,COMPOSITE,continuous_long_short,10.0,0.0006799360644438594,-2.941776783406142e-05,0.7093538322779208,0.026038367787094372,962,519,443
1995-03-31,retrospective,COMPOSITE,continuous_long_short,25.0,0.0006799360644438594,-0.0010934485162509427,0.7093538322779208,0.026038367787094372,962,519,443
1995-03-31,retrospective,COMPOSITE,long_only,0.0,0.017438454482283667,0.017438454482283667,0.3854166666666667,0.026038367787094372,962,192,0
1995-03-31,retrospective,COMPOSITE,long_only,10.0,0.017438454482283667,0.017053037815617,0.3854166666666667,0.026038367787094372,962,192,0
1995-03-31,retrospective,COMPOSITE,long_only,25.0,0.017438454482283667,0.016474912815617,0.3854166666666667,0.026038367787094372,962,192,0
1995-03-31,retrospective,COMPOSITE,long_short,0.0,0.009250619890917466,0.009250619890917466,0.6979166666666667,0.026038367787094372,962,192,192
1995-03-31,retrospective,COMPOSITE,long_short,10.0,0.009250619890917466,0.0085527032242508,0.6979166666666667,0.026038367787094372,962,192,192
1995-03-31,retrospective,COMPOSITE,long_short,25.0,0.009250619890917466,0.007505828224250799,0.6979166666666667,0.026038367787094372,962,192,192
1995-03-31,retrospective,INVESTMENT,continuous_long_short,0.0,-0.0039779881611052195,-0.0039779881611052195,0.4752769094206405,0.02640390144408159,918,524,394
1995-03-31,retrospective,INVESTMENT,continuous_long_short,10.0,-0.0039779881611052195,-0.00445326507052586,0.4752769094206405,0.02640390144408159,918,524,394
1995-03-31,retrospective,INVESTMENT,continuous_long_short,25.0,-0.0039779881611052195,-0.00516618043465682,0.4752769094206405,0.02640390144408159,918,524,394
