period,signal,strategy,cost_bps,n_months,cagr,annualized_volatility,sharpe,max_drawdown,hit_rate,average_monthly_turnover,benchmark_cagr,information_ratio_vs_benchmark,alpha_annualized,beta
full,MOM,long_only,0.0,179,0.13695689785147125,0.18660477543529394,0.784101581457259,-0.2558897383755365,0.6256983240223464,0.5163834146644498,0.14432489304433682,-0.0031593598253158396,-0.02124593356213414,1.1432330513118103
full,MOM,long_only,10.0,179,0.13000114601081525,0.18658218802279858,0.7509853970261933,-0.26591259119682287,0.6201117318435754,0.5163834146644498,0.14432489304433682,-0.08075461594581694,-0.027421791715321803,1.1430915291625088
full,MOM,long_only,25.0,179,0.11964043950657599,0.18654921618978623,0.7012926655948071,-0.2807049609115557,0.6145251396648045,0.5163834146644498,0.14432489304433682,-0.19719178540396215,-0.03668557894510338,1.142879245938557
full,MOM,long_short,0.0,179,0.02726547094331222,0.09845732209199931,0.3229351462077219,-0.20449878149379752,0.547486033519553,1.0379778529866035,0.14432489304433682,-0.5979762347993385,0.04849431487284904,-0.11393224039562254
full,MOM,long_short,10.0,179,0.014566171515330018,0.09845812825284314,0.19642456963529434,-0.24580458785001236,0.5251396648044693,1.0379778529866035,0.14432489304433682,-0.6627912400362737,0.03606742733786611,-0.11412905290988892
full,MOM,long_short,25.0,179,-0.004213637552623384,0.09846432359369023,0.006662251782781634,-0.3448030460821002,0.4972067039106145,1.0379778529866035,0.14432489304433682,-0.7599744261875017,0.017427096035391682,-0.11442427168128848
full,QUALITY,long_only,0.0,179,0.1468871062031425,0.16762018056599132,0.9051970987507006,-0.2787653110323628,0.6256983240223464,0.12266329824635537,0.14315335470220747,0.11713657793596655,-0.0044147871340003905,1.073191099391856
full,QUALITY,long_only,10.0,179,0.14522411574657834,0.1675843852978715,0.8966070513930875,-0.27965855156472474,0.6256983240223464,0.12266329824635537,0.14315335470220747,0.08952354453437235,-0.005856390563665936,1.0729824590930743
full,QUALITY,long_only,25.0,179,0.1427335434767727,0.16753198535308808,0.8837082774431785,-0.2810435056109517,0.6201117318435754,0.12266329824635537,0.14315335470220747,0.04804898669708323,-0.008018795708164307,1.0726694986449017
full,QUALITY,long_short,0.0,179,0.03186670946592107,0.06361718148249823,0.5252546917224916,-0.14346429513286696,0.5418994413407822,0.2921395486690664,0.14315335470220747,-0.6272776255505033,0.052693684297160676,-0.13250244214419982
full,QUALITY,long_short,10.0,179,0.028264715749445557,0.06360560388479945,0.47023448622523695,-0.15071080524805058,0.5307262569832403,0.2921395486690664,0.14315335470220747,-0.6467035126626388,0.04925621365354221,-0.13297121340925847
full,QUALITY,long_short,25.0,179,0.02288230808879055,0.06360409819097124,0.3875699410713553,-0.16175135261121298,0.5139664804469274,0.2921395486690664,0.14315335470220747,-0.6757992602420663,0.04410000768811451,-0.1336743703068464
full,SIZE,long_only,0.0,179,0.11712516934041028,0.19416500151756527,0.6702089207989104,-0.3243258291942328,0.6201117318435754,0.31493237872676966,0.14294469053223713,-0.1849520747086045,-0.043675281299825515,1.195376360597123
full,SIZE,long_only,10.0,179,0.11294957694254948,0.1941297859925847,0.6508631683347722,-0.3281817398657023,0.6201117318435754,0.31493237872676966,0.14294469053223713,-0.23079271445177935,-0.04742130087825625,1.1951482366684485
full,SIZE,long_only,25.0,179,0.10671286556863446,0.1940776484004741,0.6218291789746784,-0.3339266089582502,0.6201117318435754,0.31493237872676966,0.14294469053223713,-0.29959245840162146,-0.05304033024590246,1.194806050775437
full,SIZE,long_short,0.0,179,-0.009368868752095416,0.07461820249756256,-0.08895020119847094,-0.28951364411606784,0.5139664804469274,0.3924670329810557,0.14294469053223713,-1.1070943684479246,-0.035826078019200444,0.2007496319170974
full,SIZE,long_short,10.0,179,-0.014025631953464957,0.07457236666299648,-0.15215969438488472,-0.32341064900276595,0.4972067039106145,0.3924670329810557,0.14294469053223713,-1.1411598959535278,-0.04048853946705619,0.20042540009166382
full,SIZE,long_short,25.0,179,-0.020973587662957427,0.07450954273639791,-0.24710009535012453,-0.3777721864168335,0.48044692737430167,0.3924670329810557,0.14294469053223713,-1.192204529032297,-0.04748223163883979,0.19993905235351353
full,VALUE,long_only,0.0,179,0.11771028051436239,0.20794406875436122,0.6429904629592814,-0.3829335455323928,0.6312849162011173,0.20244798351422513,0.1433451410818507,-0.12001274052261816,-0.048810124440345715,1.2527395355430806
full,VALUE,long_only,10.0,179,0.11502717074665014,0.20790165385701548,0.6314364258310246,-0.3833195153768978,0.6312849162011173,0.20244798351422513,0.1433451410818507,-0.144361481588315,-0.05119375899711891,1.2524255805430027
full,VALUE,long_only,25.0,179,0.11101339451776271,0.20783887180786068,0.6140940451724944,-0.38389817402486626,0.6201117318435754,0.20244798351422513,0.1433451410818507,-0.18089860949324185,-0.05476921083227849,1.2519546480428845
full,VALUE,long_short,0.0,179,-0.004476560432880694,0.08807398622814107,-0.007135806515018903,-0.33694232377550615,0.48044692737430167,0.4207747232999588,0.1433451410818507,-1.008880843833665,-0.029698403495919425,0.1995277586278817
full,VALUE,long_short,10.0,179,-0.009493985891474654,0.08805834343589106,-0.06447742919969336,-0.3647939652385461,0.4748603351955307,0.4207747232999588,0.1433451410818507,-1.0432297736026306,-0.0346766955179278,0.19904040269592518
full,VALUE,long_short,25.0,179,-0.016977412547533377,0.08804348682789574,-0.15051335540166866,-0.41222424329481233,0.4692737430167598,0.4207747232999588,0.1433451410818507,-1.0946567782029943,-0.04214413355094038,0.1983093687979905
holdout,COMPOSITE,long_only,0.0,11,0.20683295463480622,0.17205918379612886,1.1791744174886256,-0.06963334604779126,0.6363636363636364,0.3332097923831064,0.2636347930435894,-0.4263414410437805,-0.1085820462038217,1.2853446049077606
holdout,COMPOSITE,long_only,10.0,11,0.20208067459075618,0.1720832953089918,1.1557732548103923,-0.0700641152785606,0.6363636363636364,0.3332097923831064,0.2636347930435894,-0.46940276593573044,-0.11260076163167078,1.285427955793478
holdout,COMPOSITE,long_only,25.0,11,0.1949843398703175,0.1721197482970589,1.120681943608045,-0.07071026912471445,0.6363636363636364,0.3332097923831064,0.2636347930435894,-0.5339345859602037,-0.11862883477344438,1.2855529821220542
holdout,COMPOSITE,long_short,0.0,11,0.025477965055393126,0.039908294481831315,0.6491330006294206,-0.031187003985534978,0.5454545454545454,0.6580607934487557,0.2636347930435894,-1.7689042606914402,0.025681433703918587,0.0009258565050336235
holdout,COMPOSITE,long_short,10.0,11,0.01743091282077902,0.03976314596680442,0.4529083649629536,-0.03435391760800999,0.5454545454545454,0.6580607934487557,0.2636347930435894,-1.83410694679613,0.017792113402073886,0.0008952808302096718
holdout,COMPOSITE,long_short,25.0,11,0.00546869766848479,0.03954815333651432,0.1558597968173632,-0.0390887898522132,0.45454545454545453,0.6580607934487557,0.2636347930435894,-1.9319802273127271,0.005958132949306817,0.0008494173179737347
holdout,LV,long_only,0.0,11,0.15526792267528933,0.12790061475942766,1.1938004672355615,-0.056832109820225796,0.7272727272727273,0.26941870985644467,0.26312963362812813,-1.5420668945579084,-0.08552270975856416,0.98464047361167
holdout,LV,long_only,10.0,11,0.15158194505927636,0.12789101153891735,1.168610579765128,-0.05703619145287886,0.7272727272727273,0.26941870985644467,0.26312963362812813,-1.6008253939320964,-0.08884250698234115,0.9849991475972425
holdout,LV,long_only,25.0,11,0.14607310071370594,0.1278772461391016,1.1308130001996526,-0.0573423139018584,0.7272727272727273,0.26941870985644467,0.26312963362812813,-1.6893315853256217,-0.0938222028180065,0.9855371585756012
holdout,LV,long_short,0.0,11,-0.026680985848157812,0.10766728723753673,-0.20073148365257212,-0.08666401434576887,0.45454545454545453,0.5637383507051911,0.26312963362812813,-1.2540109879493542,0.15098717094887243,-0.7134375845611598
holdout,LV,long_short,10.0,11,-0.03325089158064831,0.10755116204302519,-0.2638472144554664,-0.08807979139680355,0.45454545454545453,0.5637383507051911,0.26312963362812813,-1.2867923671586494,0.14408154557410663,-0.7128557333564846
holdout,LV,long_short,25.0,11,-0.04302972343465705,0.10737865175533601,-0.35877117284888727,-0.09020076223238527,0.45454545454545453,0.5637383507051911,0.26312963362812813,-1.3360153356686242,0.13372310751195782,-0.7119829565494714
holdout,MOM,long_only,0.0,11,0.27331109343147975,0.20714126711352984,1.2717689577483808,-0.08827717405195756,0.7272727272727273,0.47877682487742484,0.26312992529065427,0.19658904239064665,-0.13672528264032974,1.6541365362136335
holdout,MOM,long_only,10.0,11,0.2661410134823028,0.20717342977031386,1.243839578129379,-0.08875676588869219,0.7272727272727273,0.47877682487742484,0.26312992529065427,0.14414405323808552,-0.1426487291669326,1.6548728457737023
holdout,MOM,long_only,25.0,11,0.25545511603451243,0.20722218084264998,1.2019588232519294,-0.08947615364379435,0.7272727272727273,0.47877682487742484,0.26312992529065427,0.0654234069549819,-0.15153389895683672,1.655977310113805
holdout,MOM,long_short,0.0,11,0.14819214468388586,0.09052653478539228,1.5760847915515552,-0.03558675426169833,0.7272727272727273,1.0045160741646997,0.26312992529065427,-1.0609601140102844,0.026720969228671447,0.47932674546717513
holdout,MOM,long_short,10.0,11,0.13457915019221312,0.09054098271063427,1.44269807888667,-0.036535733853534924,0.7272727272727273,1.0045160741646997,0.26312992529065427,-1.19095406828141,0.014494435702239163,0.4800391458779609
holdout,MOM,long_short,25.0,11,0.11443654301510864,0.09056607259123235,1.242650909575533,-0.03795920324129021,0.6363636363636364,1.0045160741646997,0.26312992529065427,-1.3863581688607642,-0.003845364587409243,0.48110774649413957
holdout,QUALITY,long_only,0.0,11,0.14714335071097384,0.16169462004800916,0.9268994431834441,-0.06131368416431826,0.7272727272727273,0.11830048124464371,0.26350583482193635,-1.376476453935987,-0.1665847723179182,1.3064512409110933
holdout,QUALITY,long_only,10.0,11,0.14553224030349532,0.16170241211819064,0.9180756524820088,-0.06142535929122195,0.7272727272727273,0.11830048124464371,0.26350583482193635,-1.3980598612749995,-0.1680518215293045,1.30664710341797
