date,turnover,solver,solver_status,objective_value,exit_turnover,eligible_names,buffered_holdings,minimum_position_cap
2015-05-29,0.543609190027653,CLARABEL,optimal,0.01655406833529615,0.08374007428415425,223,23,0.0015709855199999999
2015-06-30,0.5238132125274426,CLARABEL,optimal,0.01659728602151668,0.06000000054533307,218,18,0.0018989899800000002
2015-07-31,0.5901767315962977,CLARABEL,optimal,0.01657631060121382,0.11098274416077288,216,16,0.00150848649
2015-08-31,0.689570130533534,CLARABEL,optimal,0.016563451974725318,0.08099758340941562,222,22,0.00167668776
2015-09-30,0.5525704162073235,CLARABEL,optimal,0.017040277679055083,0.10564177271595843,210,10,0.0013096338799999999
2015-10-30,0.3436487403901958,CLARABEL,optimal,0.016741555491947613,0.02147675817613058,218,18,0.0015946254000000005
2015-11-30,0.6222658576042088,CLARABEL,optimal,0.016312828296475398,0.054413392244035706,221,21,0.0016323028000000002
2015-12-31,0.5448485754051582,CLARABEL,optimal,0.01633177474256482,0.06056595342199804,218,18,0.0017991773450000003
2016-01-29,0.6608752678451497,CLARABEL,optimal,0.01626111779835139,0.141197000993661,224,24,0.0019238755700000003
2016-02-29,0.7499999476962476,CLARABEL,optimal,0.01611145149814264,0.15016191200018547,231,31,0.002576331255
2016-03-31,0.6291581595453943,CLARABEL,optimal,0.016596624009249883,0.10557922859994394,226,26,0.0029521883299999997
2016-04-29,0.5006874668259954,CLARABEL,optimal,0.016520170432106344,0.05717134008232641,212,12,0.0029945019150000004
2016-05-31,0.48121782156157955,CLARABEL,optimal,0.016990334564914108,0.03737400590606215,214,14,0.002639134965
2016-06-30,0.5778899097638517,CLARABEL,optimal,0.01669865853914985,0.10713529832374971,220,20,0.0023564434900000004
2016-07-29,0.36127591293957373,CLARABEL,optimal,0.016500387774322393,0.05974803715873901,221,21,0.001984416645
2016-08-31,0.6496851493309387,CLARABEL,optimal,0.01668045089369261,0.08648343341512132,227,27,0.00220702065
2016-09-30,0.5084492442260127,CLARABEL,optimal,0.016636429436345274,0.03470816924963035,222,22,0.002342414765
2016-10-31,0.533986373934953,CLARABEL,optimal,0.015956009805760472,0.06667503318872507,224,24,0.00279060783
2016-11-30,0.7458151846580074,CLARABEL,optimal,0.016085276043195946,0.1173329718091995,223,23,0.00281919705
2016-12-30,0.5639353455503033,CLARABEL,optimal,0.016480397319842216,0.05237143036574525,222,22,0.0034317127750000003
2017-01-31,0.46406769464011205,CLARABEL,optimal,0.016564764011561654,0.05546363447858804,221,21,0.002603531315
2017-02-28,0.7499998765562174,CLARABEL,optimal,0.015199114403960948,0.049495752461080456,229,29,0.0022460179
2017-03-31,0.7499998817889398,CLARABEL,optimal,0.01525084692780851,0.08717376240432201,230,30,0.0025843904
2017-04-28,0.6376395447226332,CLARABEL,optimal,0.015666083285944727,0.0599999992545477,225,25,0.0019934262300000003
2017-05-31,0.6074681625317349,CLARABEL,optimal,0.016018909449225745,0.07269577262693083,226,26,0.0019866660600000004
2017-06-30,0.6009368048567629,CLARABEL,optimal,0.015633204814083417,0.030963476970799673,232,32,0.0019155736499999998
2017-07-31,0.5801441690030109,CLARABEL,optimal,0.015930526972238856,0.03271121006212288,223,23,0.0019709141399999997
2017-08-31,0.4729343262199545,CLARABEL,optimal,0.016592510041533174,0.09559944808726054,217,17,0.0020005585400000004
2017-09-29,0.47642793146817397,CLARABEL,optimal,0.01668057982038339,0.0902472363119998,214,14,0.0020005585400000004
2017-10-31,0.5702251238703057,CLARABEL,optimal,0.01652882889858207,0.07494367533583629,214,14,0.0021583355600000003
2017-11-30,0.6732945390619307,CLARABEL,optimal,0.01596367041442634,0.062025137559484605,227,27,0.00199436711
2017-12-29,0.5015577352186871,CLARABEL,optimal,0.016111212110339904,0.008629143464591569,218,18,0.0017666372800000001
2018-01-31,0.5666784810179742,CLARABEL,optimal,0.015956363108777967,0.02907424556310048,219,19,0.0017666372800000001
2018-02-28,0.7499998355798689,CLARABEL,optimal,0.015602483450742494,0.05251481935739244,226,26,0.002524732
2018-03-29,0.6979722135720252,CLARABEL,optimal,0.015607073660921412,0.07849525257389757,226,26,0.00355279226
2018-04-30,0.5667167287510363,CLARABEL,optimal,0.015931895545283178,0.0576496119737189,228,28,0.00087802557
2018-05-31,0.5710320280333586,CLARABEL,optimal,0.01614784291237033,0.08537228892949368,227,27,0.0030924824100000002
2018-06-29,0.6412263639833686,CLARABEL,optimal,0.0162522526415977,0.08793728773721192,224,24,0.0032970478399999997
2018-07-31,0.5048726139650218,CLARABEL,optimal,0.016458834586160185,0.10490871912554031,220,20,0.004182588415000001
