strategy,cost_bps,era,n_months,cagr,annualized_volatility,sharpe,max_drawdown,hit_rate,average_monthly_turnover,benchmark_cagr,information_ratio_vs_benchmark,alpha_annualized,beta
risk_turnover_managed,25.0,2000s,120,0.06706665383210342,0.11820214797161378,0.6087984519077061,-0.14518141319575906,0.5666666666666667,0.409615386888295,-0.0046455938427062415,0.25915879305369593,0.07531326538022297,-0.4007911913946405
risk_turnover_managed,25.0,2010s,120,0.0020159835301709617,0.05117722527185251,0.06463138228132763,-0.11680031368412092,0.525,0.35760097629450577,0.14031262634840802,-0.903063142335855,0.02240158101027119,-0.13647175072700868
risk_turnover_managed,25.0,2020s,59,0.043596679048919285,0.10045360041548071,0.47466701508246617,-0.12687592217723886,0.5423728813559322,0.37319544499803964,0.1489110336267363,-0.4525041722163747,0.07701367929194328,-0.18701198308277903
risk_turnover_vol_scaled,0.0,1990s,120,0.04976148278446946,0.06696249016617646,0.7597338569171302,-0.11664684871836295,0.6166666666666667,0.43074135898560423,0.18714653306871853,-0.7253614917848693,0.10030104044389801,-0.271789322966633
risk_turnover_vol_scaled,0.0,2000s,120,0.03987593448351001,0.0824255861486161,0.5165377337918579,-0.1165459139173396,0.6083333333333333,0.38207383357688574,-0.0046455938427062415,0.15925571348118858,0.044805086948884236,-0.2665374198626204
risk_turnover_vol_scaled,0.0,2010s,120,0.01756300019959589,0.05803148148520266,0.328858441436417,-0.09451317938036607,0.55,0.41848600575318,0.14031262634840802,-0.7758447649389378,0.040918332532109324,-0.15605748658838162
risk_turnover_vol_scaled,0.0,2020s,59,0.05108449701863371,0.09715555787355876,0.5612852397914799,-0.12638873743848644,0.5932203389830508,0.373274460001005,0.1489110336267363,-0.42834722374603845,0.08275679448389317,-0.17995493143543645
risk_turnover_vol_scaled,10.0,1990s,120,0.04436356908596517,0.06704047470973133,0.6817489704956262,-0.12435539771307513,0.6,0.43074135898560423,0.18714653306871853,-0.7538420600280336,0.0951418938602906,-0.27184293437607066
risk_turnover_vol_scaled,10.0,2000s,120,0.035124109793034375,0.08252238462601698,0.46037253582674076,-0.1283047923734334,0.5916666666666667,0.38207383357688574,-0.0046455938427062415,0.13783851708574021,0.040225786197641014,-0.2672052398432734
risk_turnover_vol_scaled,10.0,2010s,120,0.012473817236089202,0.057989770256384875,0.24249639935215242,-0.1001087720991174,0.5416666666666666,0.41848600575318,0.14031262634840802,-0.8082354633739852,0.03587954715235185,-0.15593631465285127
risk_turnover_vol_scaled,10.0,2020s,59,0.04640328531592086,0.09715698835721981,0.5151733079054823,-0.12972642670167311,0.559322033898305,0.373274460001005,0.1489110336267363,-0.4470875599555858,0.07828433869990205,-0.1799985272700027
risk_turnover_vol_scaled,25.0,1990s,120,0.03631363216353023,0.06716792876848875,0.5650230824292013,-0.1358000647252423,0.5833333333333334,0.43074135898560423,0.18714653306871853,-0.7965252149677395,0.08740317398487953,-0.27192335149022717
risk_turnover_vol_scaled,25.0,2000s,120,0.02803319458440856,0.08267298371634339,0.3763467709731922,-0.14965776268191022,0.5666666666666667,0.38207383357688574,-0.0046455938427062415,0.10575537761361418,0.03335683507077618,-0.2682069698142531
risk_turnover_vol_scaled,25.0,2010s,120,0.004883581575115592,0.057930620413175954,0.11271348962438402,-0.11789188272210016,0.525,0.41848600575318,0.14031262634840802,-0.856836237607411,0.028321369082715656,-0.15575455674955574
risk_turnover_vol_scaled,25.0,2020s,59,0.03941707349064405,0.0971613106045878,0.44599796491484467,-0.13510898443277686,0.5423728813559322,0.373274460001005,0.1489110336267363,-0.4751942526596754,0.07157565502391541,-0.18006392102185206
